rank,file_path,hotspot_score,total_churn,commit_count,unique_contributors,sonar_issue_count,github_issue_signal,github_issue_matches,highest_severity,severity_breakdown
389,src/frontend/src/features/rooms/livekit/components/controls/Options/OptionsButton.tsx,0.0013001872269606824,125,11,3,0.0,0.00253592561284869,0,NONE,
390,src/frontend/src/primitives/TextField.tsx,0.0012897857291449969,124,2,1,0.0,0.00253592561284869,0,NONE,
391,env.d/development/common.dist,0.001268982733513626,122,27,6,0.0,0.00253592561284869,0,NONE,
392,src/frontend/src/features/rooms/livekit/components/blur/BackgroundVirtualTrackProcessorJsWrapper.ts,0.001268982733513626,122,2,2,0.0,0.00253592561284869,0,NONE,
393,src/frontend/src/features/rooms/livekit/components/controls/Participants/HandRaisedListItem.tsx,0.0012585812356979405,121,8,2,0.0,0.00253592561284869,0,NONE,
394,src/frontend/src/features/rooms/livekit/prefabs/ControlBar/MoreOptions.tsx,0.0012585812356979405,121,9,2,0.0,0.00253592561284869,0,NONE,
395,src/helm/impress/templates/backend_job.yaml,0.0012585812356979405,121,1,1,0.0,0.00253592561284869,0,NONE,
396,src/helm/impress/templates/backend_job_createsuperuser.yaml,0.0012585812356979405,121,1,1,0.0,0.00253592561284869,0,NONE,
397,src/frontend/src/routes.ts,0.0012377782400665696,119,12,2,0.0,0.00253592561284869,0,NONE,
398,.github/workflows/deploy.yml,0.001227376742250884,118,5,3,0.0,0.00253592561284869,0,NONE,
399,docs/theming.md,0.001227376742250884,118,1,1,0.0,0.00253592561284869,0,NONE,
400,src/helm/impress/templates/ingress.yaml,0.001227376742250884,118,1,1,0.0,0.00253592561284869,0,NONE,
401,src/backend/core/services/livekit_events_service.py,0.0012169752444351988,117,1,1,0.0,0.00253592561284869,0,NONE,
402,src/backend/core/tests/rooms/test_api_rooms_create.py,0.0012169752444351988,117,5,1,0.0,0.00253592561284869,0,NONE,
403,src/backend/core/analytics.py,0.0012065737466195132,116,2,1,0.0,0.00253592561284869,0,NONE,
404,src/frontend/src/features/rooms/livekit/components/controls/SettingsMenuToggle.tsx,0.0012065737466195132,116,2,1,0.0,0.00253592561284869,0,NONE,
405,src/frontend/src/locales/nl/home.json,0.0012065737466195132,116,10,3,0.0,0.00253592561284869,0,NONE,
406,src/backend/core/tests/recording/test_api_recordings_delete.py,0.0011857707509881424,114,1,1,0.0,0.00253592561284869,0,NONE,
407,src/helm/extra/templates/redirect.yaml,0.0011857707509881424,114,3,1,0.0,0.00253592561284869,0,NONE,
408,src/sdk/library/package.json,0.0011857707509881424,114,13,3,0.0,0.00253592561284869,0,NONE,
409,src/frontend/src/features/files/api/createFile.ts,0.0011753692531724569,113,2,1,0.0,0.00253592561284869,0,NONE,
